Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
EASI253_L2_polyg	2526616.0	0.0	0.0	666.0	0.0
EASI253_L3_polyg	2530650.0	0.0	0.0	824.0	0.0
EASI253_L4_polyg	2172594.0	0.0	0.0	882.0	0.0
EASI254_L1_polyg	2486604.0	0.0	0.0	868.0	0.0
EASI254_L2_polyg	2415452.0	0.0	0.0	786.0	0.0
EASI254_L3_polyg	2409922.0	0.0	0.0	820.0	0.0
EASI254_L4_polyg	1995212.0	0.0	0.0	876.0	0.0
EASI255_L1_polyg	2205716.0	0.0	0.0	778.0	0.0
EASI255_L2_polyg	2125340.0	0.0	0.0	660.0	0.0
EASI255_L3_polyg	2140630.0	0.0	0.0	806.0	0.0
EASI255_L4_polyg	1834236.0	0.0	0.0	742.0	0.0
EASI256_L1_polyg	2172594.0	0.0	0.0	1078.0	0.0
EASI256_L2_polyg	2074866.0	0.0	0.0	926.0	0.0
EASI256_L3_polyg	2105130.0	0.0	0.0	1180.0	0.0
EASI256_L4_polyg	1795602.0	0.0	0.0	1030.0	0.0
EASI257_L1_polyg	2369898.0	0.0	0.0	1130.0	0.0
EASI257_L2_polyg	2285604.0	0.0	0.0	978.0	0.0
EASI257_L3_polyg	2299048.0	0.0	0.0	1170.0	0.0
