Node	EASI021.unmapped.rma6	EASI022.unmapped.rma6	EASI023A.unmapped.rma6	EASI023B.unmapped.rma6	EASI023C.unmapped.rma6	EASI031A.unmapped.rma6	EASI031B.unmapped.rma6	EASI031C.unmapped.rma6	EASI032.unmapped.rma6	EASI024.unmapped.rma6	EASI025.unmapped.rma6	EASI026A.unmapped.rma6	EASI026B.unmapped.rma6	EASI027.unmapped.rma6	EASI028A.unmapped.rma6	EASI028B.unmapped.rma6	EASI001.unmapped.rma6	EASI019A.unmapped.rma6	EASI019B.unmapped.rma6	EASI020A.unmapped.rma6	EASI020B.unmapped.rma6	EASI020C.unmapped.rma6	EASI020D.unmapped.rma6	EASI029.unmapped.rma6	EASI030.unmapped.rma6	EASI002.unmapped.rma6	EASI003A.unmapped.rma6	EASI003B.unmapped.rma6	EASI003C.unmapped.rma6	EASI004A.unmapped.rma6	EASI004B.unmapped.rma6	EASI005.unmapped.rma6	EASI006A.unmapped.rma6	EASI006B.unmapped.rma6	EASI007A.unmapped.rma6	EASI007B.unmapped.rma6	EASI008.unmapped.rma6	EASI009.unmapped.rma6	EASI010.unmapped.rma6	EASI011.unmapped.rma6	EASI012A.unmapped.rma6	EASI012B.unmapped.rma6	EASI013.unmapped.rma6	EASI014.unmapped.rma6	EASI015A.unmapped.rma6	EASI015B.unmapped.rma6	EASI015C.unmapped.rma6	EASI015D.unmapped.rma6	EASI016A.unmapped.rma6	EASI016B.unmapped.rma6	EASI017A.unmapped.rma6	EASI017B.unmapped.rma6	EASI018.unmapped.rma6	EASI040.unmapped.rma6	EASI041.unmapped.rma6	EASI042.unmapped.rma6	EASI033A.unmapped.rma6	EASI033B.unmapped.rma6	EASI034.unmapped.rma6	EASI043.unmapped.rma6	EASI044.unmapped.rma6	EASI045.unmapped.rma6	EASI035.unmapped.rma6	EASI037.unmapped.rma6	EASI038.unmapped.rma6	EASI039A.unmapped.rma6	EASI039B.unmapped.rma6	EASI039C.unmapped.rma6	EASI039D.unmapped.rma6
Corynebacterium_sphenisci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	17	6	8	4	6	2	4	9	7	5	6	5	3	3	6	5	5	9	8	16	7	21	20	7	4	6	4	5	2	2	6	4	9	8	7	11	4	5	2	2	5	1	7	9	3	2	9	7	4	5	8	1	4	18	5	10	3	9	1	19	13	12	9	4	6	19	16	27	46
Corynebacterium_stationis	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0
Corynebacterium_striatum	3	3	0	1	0	1	0	2	1	2	1	3	2	1	0	0	0	2	1	6	2	4	0	1	1	1	0	3	0	1	3	1	5	0	1	2	0	1	0	3	1	0	1	4	2	1	5	1	1	0	0	0	1	4	5	3	0	3	0	3	4	1	2	1	1	5	3	4	7
Corynebacterium_urealyticum	0	2	0	2	2	2	2	2	2	2	1	1	3	1	1	0	3	1	6	4	5	1	3	1	0	1	0	1	1	1	4	0	0	3	2	2	2	0	1	0	3	0	0	1	1	1	3	1	1	0	1	0	0	4	0	2	1	3	0	4	1	0	0	1	0	2	6	4	4
Corynebacterium_ureicelerivorans	0	0	1	3	2	1	4	0	0	0	1	0	3	0	1	0	3	2	0	1	0	3	2	1	1	1	0	2	0	3	4	0	1	1	2	0	4	3	0	1	1	0	0	5	6	0	2	7	3	1	1	1	1	4	0	1	2	1	1	2	6	2	0	0	0	3	1	3	8
Corynebacterium_xerosis	3	0	5	3	0	3	3	2	0	1	7	3	4	3	6	5	5	7	7	11	6	4	4	3	1	0	3	2	0	2	4	4	3	2	1	1	4	1	8	1	3	4	4	4	3	5	4	12	1	1	3	2	2	5	7	4	2	3	0	6	7	6	1	1	0	4	3	4	9
Cowpox_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coxiella_burnetii	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	2	1	1	0	0	2	0	0	0	3	1	1	1	0	1	0	1	0	2	0	3	1	1	0	0	1	1	0	1	0	0	0	2	0	1	3	3	0	0	1	2	0	1	2	1	1	0	0	0	1	1
Coxiella_burnetii_Dugway_5J108-111	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	1	0	2	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0
